libelle_actuel;ou;occurrences;type;documents;action;nom_propose;texte_libre_propose;confiance;motif
Compteur Mesure TGBT;documents;1;COM;Ecole Primaire Berthecourt — Automate maître;SCINDER;Compteur Electrique;TGBT;à relire;générique déduit — à confirmer
Convecteur_Stockage_Froid;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;RENOMMER;Commande contacteur;Convecteur Stockage Froid;sûr;alignement sur le vocabulaire arbitré
CR1 - Autorisation Ppes;documents;1;DO;ECY600_UEHC_BETHUNE;RENOMMER;Commande;CR1 - Autorisation Ppes;à relire;relecture : renommage demandé
CR1 - Defaut ppe 1;documents;1;DI;ECY600_UEHC_BETHUNE;RENOMMER;Defaut pompe;CR1 - Defaut ppe 1;à relire;relecture : renommage demandé
CR1 - Defaut ppe 2;documents;1;DI;ECY600_UEHC_BETHUNE;RENOMMER;Defaut pompe;CR1 - Defaut ppe 2;à relire;relecture : renommage demandé
CR1 - Signal V3V;documents;1;AO;ECY600_UEHC_BETHUNE;RENOMMER;Pilotage V3V;CR1 - Signal V3V;à relire;relecture : renommage demandé
CR2 - Autorisation Ppes;documents;1;DO;ECY600_UEHC_BETHUNE;RENOMMER;Commande;CR2 - Autorisation Ppes;à relire;relecture : renommage demandé
CR2 - Defaut ppe 1;documents;1;DI;ECY600_UEHC_BETHUNE;RENOMMER;Defaut pompe;CR2 - Defaut ppe 1;à relire;relecture : renommage demandé
CR2 - Defaut ppe 2;documents;1;DI;ECY600_UEHC_BETHUNE;RENOMMER;Defaut pompe;CR2 - Defaut ppe 2;à relire;relecture : renommage demandé
CR2 - Signal V3V;documents;1;AO;ECY600_UEHC_BETHUNE;RENOMMER;Pilotage V3V;CR2 - Signal V3V;à relire;relecture : renommage demandé
Cuisine;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;RENOMMER;Commande;Cuisine;à relire;relecture : renommage demandé
Defaut CHD;documents;1;DI;ECY600_UEHC_BETHUNE;RENOMMER;Defaut;Chaudiere;à relire;relecture : renommage demandé
Defaut Pompe 1;documents;1;DI;Sous-Station;RENOMMER;Defaut pompe 1;;sûr;variante d'écriture d'un point du catalogue
Defaut Pompe 2;documents;1;DI;Sous-Station;RENOMMER;Defaut pompe 2;;sûr;variante d'écriture d'un point du catalogue
ECS - Autorisation Ppes;documents;1;DO;ECY600_UEHC_BETHUNE;RENOMMER;Commande ECS - Autorisation Ppes;;à relire;relecture : renommage demandé
ECS - Defaut Ppe 1;documents;1;DI;ECY600_UEHC_BETHUNE;RENOMMER;Defaut pompe;ECS - Defaut Ppe 1;à relire;relecture : renommage demandé
ECS - Defaut Ppe 2;documents;1;DI;ECY600_UEHC_BETHUNE;RENOMMER;Defaut pompe;ECS - Defaut Ppe 2;à relire;relecture : renommage demandé
Extracteur GV;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Extracteur GV;;à relire;aucun local repéré — vocabulaire à valider
Extracteur PV;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Extracteur PV;;à relire;aucun local repéré — vocabulaire à valider
Hall;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;RENOMMER;Commande;Hall;à relire;relecture : renommage demandé
Infirmerie;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;RENOMMER;Commande;Infirmerie;à relire;relecture : renommage demandé
Insufflateur GV;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Insufflateur GV;;à relire;aucun local repéré — vocabulaire à valider
Insufflateur PV;documents;1;DO;Salle des fêtes — Berthecourt;GARDER;Insufflateur PV;;à relire;aucun local repéré — vocabulaire à valider
Laverie;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;RENOMMER;Commande;Laverie;à relire;relecture : renommage demandé
Local_Dechet;catalogue + documents;1;DO;Groupe_Scolaire_Cantine;RENOMMER;Commande;Local Dechet;sûr;alignement sur le vocabulaire arbitré
M/A Ballon ECS;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;RENOMMER;Commande Chauffe eau;;sûr;synonyme ou regroupement du vocabulaire
M/A Bureau 1;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Bureau 1;sûr;générique connu du catalogue
M/A Bureau 2;documents;1;DO;Maternelle Petit Bouton Nacré — Andeville;SCINDER;Commande;Bureau 2;sûr;générique connu du catalogue
M/A Chauffage Ballon d'eau chaude;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 1 Maternelle;RENOMMER;Commande Chauffage;Ballon d'eau chaude;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage Bibliotheque;documents;1;DO;Ecole Primaire Berthecourt — Automate maître;RENOMMER;Commande Chauffage;Bibliotheque;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage Circulation;documents;1;DO;Ecole Primaire Berthecourt — Automate maître;SCINDER;Commande Chauffage;Circulation;sûr;regroupement arbitré
M/A Chauffage cuisine;documents;1;DO;Montagny Ecole — Coupleur CTA/Cuisine;SCINDER;Commande Chauffage;cuisine;sûr;regroupement arbitré
M/A Chauffage Degagement;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 2 Primaire;SCINDER;Commande Chauffage;Degagement;sûr;regroupement arbitré
M/A Chauffage Directeur;documents;1;DO;Ecole Primaire Berthecourt — Automate maître;RENOMMER;Commande Chauffage;Directeur;sûr;synonyme ou regroupement du vocabulaire
M/A Chauffage Dortoir;documents;1;DO;Ecole Primaire Berthecourt — Coupleur 1 Maternelle;SCINDER;Commande Chauffage;Dortoir;sûr;regroupement arbitré
